ID	Frameset	Arg	Func	Descr
522	agreeable.02	ARG0	PAG	affable entity, agreeable person
523	agreeable.02	ARG1	PPT	what is agreed to, agreeable to what?
524	ah.01	ARG0	PAG	ah-er
525	ah.01	ARG1	PPT	cause of awe (ah?)
526	ahead.01	ARG1	PAG	entity/accomplishment ahead of schedule
527	ahead.01	ARG2	EXT	by how much
528	ahead.01	ARG3	PPT	schedule, goal
529	ahead.03	ARG1	PAG	entity winning
530	ahead.03	ARG2	PPT	entity losing
531	ahead.03	ARG3	EXT	by how much
532	ahead.03	ARG4	VSP	competition
533	aid.01	ARG0	PAG	helper
534	aid.01	ARG1	PPT	project
535	aid.01	ARG2	GOL	benefactor
536	ail.01	ARG0	PAG	illness
537	ail.01	ARG1	PPT	sick entity
538	aim.01	ARG0	PAG	aimer
539	aim.01	ARG1	PPT	action
540	aim.02	ARG0	PAG	aimer
541	aim.02	ARG1	PPT	thing in motion
542	aim.02	ARG2	GOL	target
543	air.01	ARG0	PAG	airer, agent
544	air.01	ARG1	PPT	thing aired
545	air.01	ARG2	GOL	audience
546	airdrop.09	ARG0	PAG	deliverer
547	airdrop.09	ARG1	PPT	thing delivered
548	airdrop.09	ARG2	GOL	recipient
549	airlift.01	ARG0	PAG	agent, causer
550	airlift.01	ARG1	PPT	entity transported
551	airlift.01	ARG2	LOC	transported to
552	airlift.01	ARG3	DIR	transported from
553	airmail.01	ARG0	PAG	mailer
554	airmail.01	ARG1	PPT	letter
555	airmail.01	ARG2	GOL	mailed-to
556	airstrike.12	ARG0	PAG	striker
557	airstrike.12	ARG1	PPT	target struck/attacked
558	airstrike.12	ARG2	MNR	weapon
559	airtrapping.01	ARG0	PAG	Trapper, intentional agent
560	airtrapping.01	ARG1	PPT	Type of air trapped, if explicit
561	airtrapping.01	ARG2	LOC	Location air is being trapped in (might be a medical patient)
562	akin.01	ARG1	PPT	first item
563	akin.01	ARG2	PPT	second item
564	akin.01	ARG3	VSP	domain of similarity
565	alarm.01	ARG0	PAG	warning
566	alarm.01	ARG1	PPT	entity alarmed
567	alcoholize.01	ARG0	PAG	Agent of saturation, conversion
568	alcoholize.01	ARG1	PPT	Entity saturated converted
569	alcoholize.01	ARG2	PRD	Resulting state after conversion, attribute of arg1
570	alert.01	ARG0	PAG	entity giving warning
571	alert.01	ARG1	GOL	entity getting warning
572	alert.01	ARG2	PPT	warning
573	alert.02	ARG0	PAG	watchful entity
574	alien.01	ARG1	PPT	unfamiliar thing, thing that's alien
575	alien.01	ARG2	PAG	perceiver, alien to whom?
576	alienate.01	ARG0	PAG	causer of anger, agent
577	alienate.01	ARG1	PPT	entity getting angry
